nId	nNpcTID	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	1966	古代四大美女在唐朝的是？	1	楊玉環	貂蟬	西施	王昭君
2	1966	唐代文宗曾向天下發佈一個罕見的天下三絕詔書，請問以下哪個不是天下三絕？	4	張旭的草書	斐旻的劍舞	李白的詩歌	張萱的畫卷
3	1966	李賀被譽為什麼？	3	詩仙	詩聖	詩鬼	詩神
4	1966	唐太宗臨終前被招為顧命大臣，又是初唐四家之一的是？	2	薛稷	褚遂良	歐陽詢	虞世南
5	1966	在唐代以下哪個是真正的寺廟：	1	白馬寺	鴻臚寺	大理寺	大雁寺
6	1966	汗血寶馬起源的朝代？	1	西漢	東漢	唐朝	宋朝
7	1966	尼羅河由三條河匯流而成，以下哪條不是其中之一？	4	青尼羅河	白尼羅河	卡蓋拉河	尼日爾河
8	1966	以下哪一個不是倚天屠龍記中三大神僧之一？	2	渡難	渡會	渡劫	渡厄
9	1966	月影傳說中，薔薇馴養了什麼動物？	3	狗	豹	鷹	貂
10	1966	明代話本小說“三言”分別是和什麼？	4	醒世恒言	喻世明言	警世通言	訴世良言
11	1967	義大利詩人阿利蓋利、但丁的長詩《神曲》分為三部分，以下哪個不是其中之一？	3	天堂	地獄	深淵	煉獄
12	1967	霧月政變發生在哪一年？	2	1798	1799	1800	1801
13	1967	圍棋棋盤縱橫的線共構成多少個交叉點?	2	360	361	362	363
14	1967	托爾斯泰的自傳體小說三部曲，以下哪個不是其中之一？	4	幼年	少年	青年	暮年
15	1967	圍棋起源於哪個國家	1	中國	日本	韓國	印度
16	1967	仇士良一生弑殺了幾個皇帝?	2	1	2	3	4
17	1967	以下哪一個不是世界三大短篇小說大師？	4	莫泊桑	契訶夫	歐亨利	卡夫卡
18	1967	第二次世界大戰爆發在哪一年?	2	1938	1939	1940	1941
19	1967	有史以來第一個活著看到自己的作品被收藏進盧浮宮的世界著名畫家是誰?	3	梵古	達芬奇	畢卡索	盧梭
20	1967	什麼花最沒力？	1	茉莉花	玫瑰花	太陽花	月季花
21	1968	曹魏實際領袖司馬昭在西元多少年決定向蜀漢發動戰爭？	2	262	263	264	265
22	1968	“圓明三院”不包括以下哪一個？	4	圓明園	長春園	綺春園	秀春園
23	1968	官渡之戰發生在西元多少年？	2	199	200	201	202
24	1968	資治通鑒定戰國時代開始於西元前多少年?	3	401	402	403	404
25	1968	王大嬸有三個兒子，這三個兒子又分別有一個姐姐和一個妹妹，問王大嬸一共有幾個孩子？	3	3	4	5	6
26	1968	烏台詩案發生於西元多少年？	2	1078	1079	1080	1081
27	1968	趙武靈王所採用的軍事和服飾改革歷史上成為什麼？	1	胡服騎射	鐵騎遠征	師夷長技	東施效顰
28	1968	圓明園在西元多少年被焚毀？	2	1859	1860	1861	1862
29	1968	《史記》定戰國時代開始於西元前多少年？	3	474	475	476	477
30	1968	李世民的同母兄弟共幾人？	4	1	2	3	4
31	1969	有十支蠟燭，你吹滅了三支，還有幾支？	4	7	8	9	10
32	1969	竹林七賢之一阮籍官至?	2	騎兵校尉	步兵校尉	百夫長	長史
33	1969	什麼動物天天熬夜	2	老鼠	熊貓	貓頭鷹	蟑螂
34	1969	赤壁之戰發生在西元多少年?	3	206	207	208	209
35	1969	唐朝初年玄奘一共取回了多少經書?	1	657	658	659	660
36	1969	古時用“十二生肖”對應十二地支，其中“辰”對應的是	1	龍	虎	猴	牛
37	1969	陶淵明號？	2	賞菊先生	五柳先生	六柳先生	五鬥先生
38	1969	以下哪一個不是初唐風塵三俠？	4	李靖	紅拂女	虯髯客	寇仲
39	1969	以下哪一個不是黃巾起義的領導人之一？	3	張梁	張角	張照	張寶
40	1969	中國古代科舉制度的起源於何時？	2	秦朝	隋朝	唐朝	宋朝
41	1970	鄭和下了幾次西洋？	2	6	7	8	9
42	1970	以下哪一個不是楊影楓的紅顏知己？	4	納蘭真	薔薇	紫軒	月明瑤
43	1970	以下哪一把不是藏劍山莊鑄造的名劍？	3	禦神	殘雪	葬月	碎星
44	1970	中國發現的最早的青花瓷標本是什麼朝代的?	1	唐朝	宋朝	明朝	清朝
45	1970	倚天屠龍記中，成昆在少林中的法號是什麼？	2	圓昆	圓真	圓業	圓慈
46	1970	天龍八部中，鐘靈的寵物叫什麼？	3	飛雪狐	金爪雕	閃電貂	汗血馬
47	1970	司馬懿被其孫司馬炎追尊為什麼？	1	晉宣帝	晉文帝	晉武帝	晉惠帝
48	1970	以下哪一個不是唐朝中央官制中的三省之一？	4	中書省	尚書省	門下省	集書省
49	1970	空氣中的音速，在標準大氣壓條件下約為多少米每秒？	3	320	330	340	350
50	1970	以下哪一個不是三藏是佛教典籍的三種形態？	2	經藏	蓮藏	律藏	論藏
51	1971	以下哪一個不是三師之一？	2	太師	太尚	太保	太傅
52	1971	滿漢全席是原官場中舉辦宴會時滿人和漢人合座的一種全席，分多少天吃完？	3	1	2	3	4
53	1971	吳承恩的《射陽先生存稿》一共有多少卷？	4	1	2	3	4
54	1971	秦始皇下令李斯進行文字整理工作，創造出來的新文字作為官方規範文字，叫什麼?	2	大篆	小篆	隸書	楷書
